Date,Open,High,Low,Close,Adj Close,Volume,Day
2021-08-13,28.110001,28.455,27.870001,28.059999,27.123598,732000,605
2021-08-16,27.870001,27.940001,27.219999,27.780001,26.852942,1063300,606
2021-08-17,27.43,27.65,27.059999,27.639999,26.717611,1211600,607
2021-08-18,27.629999,28.200001,27.27,27.32,26.408295,1326400,608
2021-08-19,26.530001,27.040001,26.129999,26.469999,25.58666,2160500,609
2021-08-20,26.639999,26.745001,25.969999,26.58,25.692989,1173800,610
2021-08-23,26.780001,27.35,26.715,27.09,26.185968,906300,611
2021-08-24,27.059999,27.924999,27.059999,27.66,26.736946,711500,612
2021-08-25,27.6,27.860001,27.27,27.66,26.736946,692400,613
2021-08-26,27.59,27.6,26.6,26.77,25.876648,1086100,614
2021-08-27,26.9,27.205,26.549999,26.870001,25.97331,799600,615
2021-08-30,27.26,27.440001,26.85,26.99,26.089306,1205400,616
2021-08-31,26.91,27.02,26.110001,26.209999,25.335335,1517700,617
2021-09-01,26.66,27.299999,26.35,26.709999,25.818649,1402000,618
2021-09-02,27.01,27.35,26.549999,26.59,25.702656,1217100,619
2021-09-03,26.51,26.610001,26.120001,26.5,25.615658,1015800,620
2021-09-07,26.530001,26.77,26.35,26.620001,25.731657,1201100,621
2021-09-08,26.43,26.620001,26.01,26.459999,25.576992,2026200,622
2021-09-09,26.565001,26.700001,26.200001,26.51,25.625324,1716900,623
2021-09-10,26.65,27.155001,26.450001,26.5,25.615658,1250300,624
2021-09-13,26.73,26.809999,26.337999,26.59,25.702656,1141600,625
2021-09-14,26.440001,26.66,25.85,26.51,25.625324,1780300,626
2021-09-15,26.52,26.639999,26.1,26.379999,25.499662,1657300,627
2021-09-16,26.379999,26.66,25.41,25.59,24.736027,2410600,628
2021-09-17,25.67,25.969999,25.209999,25.389999,24.542702,1923900,629
2021-09-20,25,25.059999,24.1,24.42,23.60507,2086900,630
2021-09-21,24.59,24.77,24.040001,24.35,23.537409,1680900,631
2021-09-22,24.41,24.940001,24.35,24.76,23.933723,1219300,632
2021-09-23,25,25.93,24.9,25.42,24.571701,1320400,633
2021-09-24,25,25.51,24.530001,25.4,24.552366,1791900,634
2021-09-27,25.51,26.299999,25.42,25.84,24.977684,1058300,635
2021-09-28,25.690001,26.01,25.26,25.48,24.629696,1877700,636
2021-09-29,25.92,26.23,25.280001,25.65,24.794024,1268900,637
2021-09-30,25.57,25.57,24.280001,24.51,23.692068,1986300,638
2021-10-01,24.77,25.184999,24.120001,25,24.165714,1941400,639
2021-10-04,25.299999,25.885,25.110001,25.16,24.320374,3443000,640
2021-10-05,25.15,26.059999,24.860001,25.549999,24.697361,3256900,641
2021-10-06,25.48,25.5,23.879999,24.24,23.431076,8388400,642
2021-10-07,25.530001,27,25.530001,26.290001,25.412666,9233500,643
2021-10-08,26.360001,26.42,25.34,25.549999,24.697361,3661400,644
2021-10-11,25.475,25.799999,24.424999,24.48,23.663067,2937900,645
2021-10-12,24.610001,24.75,24.02,24.49,23.672733,2982100,646
2021-10-13,24.6,24.84,24.280001,24.700001,23.875729,1975700,647
2021-10-14,24.870001,25.025,24.5,24.780001,23.953056,2390900,648
2021-10-15,25,25.17,24.719999,24.75,23.924057,1282000,649
2021-10-18,24.52,24.969999,24.290001,24.93,24.098051,1694800,650
2021-10-19,24.889999,25.129999,24.815001,24.879999,24.049719,1353700,651
2021-10-20,25,26.02,24.969999,25.709999,24.852024,2209800,652
2021-10-21,25.639999,26,25.540001,25.74,24.88102,1396300,653
